price,area_sqft,bedrooms,bathrooms,year_built,location,distance_to_city_center,has_garage,has_pool,condition,crime_rate,school_rating
320000,1450,3,2,1998,SouthEnd,5.2,1,0,3,8.7,6
455000,1870,4,2.5,2005,NorthDale,3.6,1,0,4,3.2,8
285000,1210,2,1,1975,WestVilla,7.8,1,0,2,12.5,4
510000,2100,3,2.5,2010,OakView,2.9,1,0,4,2.8,9
720000,2800,4,3.5,2015,RiverSide,2.1,1,1,5,1.5,9
245000,980,2,1,1965,IndustrialDist,9.5,0,0,2,15.3,3
380000,1650,3,2,2001,LakeFront,4.8,1,0,3,6.2,7
625000,2350,4,3,2012,GreenValley,3.3,1,1,4,2.5,8
895000,3200,5,3.5,2018,CentralHeights,1.2,1,1,5,1.8,10
298000,1320,3,1.5,1982,EastSide,6.7,1,0,3,10.3,5
529000,2050,3,2.5,2008,OakView,3.2,1,0,4,2.9,9
410000,1720,3,2,2003,NorthDale,3.9,1,0,3,3.5,7
275000,1150,2,1,1972,WestVilla,8.1,0,0,2,13.1,4
580000,2250,4,3,2011,LakeFront,4.2,1,0,4,5.8,8
750000,2650,4,3.5,2016,RiverSide,1.9,1,1,5,1.2,9
690000,2450,4,3,2013,GreenValley,3.0,1,1,4,2.7,8
320000,1380,3,1.5,1995,SouthEnd,5.5,1,0,3,9.1,6
420000,1780,3,2,2007,NorthDale,3.7,1,0,4,3.0,8
940000,3450,5,4,2020,CentralHeights,0.8,1,1,5,1.3,10
305000,1280,3,1.5,1985,EastSide,6.3,1,0,3,9.8,5
490000,1950,3,2.5,2009,OakView,3.4,1,0,4,3.1,9
520000,2080,3,2.5,2010,LakeFront,4.5,1,0,4,5.5,8
315000,1420,3,2,1992,SouthEnd,5.8,1,0,3,8.9,6
270000,1180,2,1,1978,WestVilla,7.5,1,0,2,12.8,4
780000,2900,4,3.5,2017,RiverSide,1.7,1,1,5,1.0,9
350000,1580,3,2,1999,NorthDale,4.1,1,0,3,3.8,7
390000,1680,3,2,2002,LakeFront,5.0,1,0,3,6.0,7
650000,2400,4,3,2012,GreenValley,2.8,1,1,4,2.3,8
920000,3300,5,4,2019,CentralHeights,1.0,1,1,5,1.5,10
289000,1250,3,1.5,1980,EastSide,7.0,1,0,3,10.5,5
715000,2750,4,3.5,2014,RiverSide,2.2,1,1,5,1.6,9
430000,1850,3,2.5,2006,NorthDale,3.5,1,0,4,3.3,8
260000,1100,2,1,1970,WestVilla,8.5,0,0,2,13.5,3
540000,2150,4,2.5,2011,OakView,3.0,1,0,4,2.7,9
370000,1600,3,2,2000,SouthEnd,5.1,1,0,3,8.5,6
598000,2300,4,3,2012,LakeFront,4.0,1,1,4,5.6,8
875000,3100,5,3.5,2018,CentralHeights,1.3,1,1,5,1.7,10
308000,1350,3,1.5,1988,EastSide,6.5,1,0,3,10.0,5
485000,1920,3,2.5,2007,OakView,3.5,1,0,4,3.0,9
739000,2800,4,3.5,2015,RiverSide,2.0,1,1,5,1.4,9